ncessch,year,%Asian,%Black,%Hispanic,"%Indigenous 
American ",%Multiracial,"%Pacific 
Islander",%White
60001707296.0,2017,0.03622159090909091,0.03125,0.3678977272727273,0.002840909090909091,0.08735795454545454,0.002130681818181818,0.47230113636363635
60001708297.0,2011,0.03427959292983396,0.13229780396357793,0.3652919121585431,0.0021424745581146223,0.014997321906802356,0.011783610069630423,0.4392072844134976
60001708297.0,2013,0.039628482972136225,0.12879256965944272,0.40743034055727556,0.002476780185758514,0.0173374613003096,0.00804953560371517,0.39628482972136225
60001708297.0,2015,0.04395604395604396,0.12431318681318682,0.46016483516483514,0.004807692307692308,0.01304945054945055,0.006868131868131868,0.34684065934065933
60001708297.0,2017,0.04066161268090972,0.11371467953135768,0.5168849069607168,0.004824259131633356,0.010337698139214336,0.002067539627842867,0.31150930392832527
60001709098.0,2011,0.03170847136772362,0.11689540937056318,0.3696166587789872,0.003312825366777094,0.001893043066729768,0.011831519167061051,0.4647420728821581
60001709098.0,2013,0.027576853526220614,0.10759493670886076,0.38426763110307416,0.005877034358047016,0.005877034358047016,0.0045207956600361665,0.4642857142857143
60001709098.0,2015,0.029787234042553193,0.08978723404255319,0.4229787234042553,0.006808510638297872,0.010638297872340425,0.0029787234042553193,0.4370212765957447
60001709098.0,2017,0.031149793861658268,0.08795235913879981,0.43563902885936784,0.00641319285387082,0.008245533669262483,0.00641319285387082,0.42418689876316995
60001809107.0,2011,,,0.09803921568627451,0.1568627450980392,,,0.7450980392156863
60001809107.0,2013,0.06796116504854369,,0.0970873786407767,0.1262135922330097,0.06796116504854369,0.019417475728155338,0.6213592233009708
60001809107.0,2017,0.15789473684210525,,0.10526315789473684,0.11842105263157894,0.17105263157894737,0.013157894736842105,0.4342105263157895
60001909273.0,2011,0.30274135876042907,0.07568533969010727,0.1632896305125149,0.004171632896305125,0.018474374255065554,0.0059594755661501785,0.4296781883194279
60001909273.0,2013,0.3506631299734748,0.07055702917771883,0.17718832891246683,0.003713527851458886,0.022811671087533156,0.006896551724137931,0.36816976127320955
60001909273.0,2015,0.4024604569420035,0.0492091388400703,0.15729349736379614,0.0008787346221441124,0.08347978910369068,0.004393673110720563,0.3022847100175747
60001909273.0,2017,0.4701818181818182,0.04727272727272727,0.13054545454545455,0.001090909090909091,0.08763636363636364,0.004363636363636364,0.2589090909090909
60002009279.0,2011,0.312861593235425,0.021806853582554516,0.08455718736092568,0.011125945705384957,,0.037828215398308856,0.531820204717401
60002009279.0,2013,0.3604705882352941,0.023058823529411764,0.08658823529411765,0.004705882352941176,0.028705882352941175,0.004705882352941176,0.49176470588235294
60002009279.0,2015,0.37349975996159385,0.024963994239078253,0.09121459433509362,0.003360537686029765,0.033605376860297645,0.003360537686029765,0.4699951992318771
60002009279.0,2017,0.40119485294117646,0.021139705882352942,0.10386029411764706,0.0009191176470588235,0.0390625,0.004136029411764706,0.4296875
60002009282.0,2011,0.24841713221601489,0.023836126629422718,0.0808193668528864,0.010428305400372439,,0.03277467411545624,0.6037243947858473
60002009282.0,2013,0.33358866334737647,0.01876675603217158,0.09459977020298736,0.00497893527384144,0.01876675603217158,0.0015319800842589046,0.5277671390271926
60002009282.0,2015,0.34574468085106386,0.018617021276595744,0.0972644376899696,0.0026595744680851063,0.022036474164133738,0.0026595744680851063,0.5110182370820668
60002009282.0,2017,0.3954358398802843,0.014964459408903853,0.08454919566030678,0.0014964459408903852,0.026187803965581742,0.0014964459408903852,0.47586980920314254
60002200395.0,2011,0.002797202797202797,,0.9874125874125874,,,,0.009790209790209791
60002200395.0,2013,0.002635046113306983,0.002635046113306983,0.9815546772068511,,,,0.013175230566534914
60002200395.0,2015,,,0.9940688018979834,,,,0.005931198102016607
