,crdc_id,year,ncessch,leaid,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
139,060002505922,2011,060002505922,0600025,1304155.0,1616715.0,1348168.0,,,,63952.0,,,
140,060002506328,2011,060002506328,0600025,6447746.0,9015714.0,6899152.0,,,,479530.0,,,
141,060002507535,2011,060002507535,0600025,3756472.0,4867123.0,3988874.0,,,,183346.0,,,
142,060002599999,2011,,,0.0,0.0,0.0,,,,0.0,,,
143,060002604544,2011,060002604544,0600026,779413.0,1216469.0,983727.0,,,,2109510.0,,,
144,060002609485,2011,060002609485,0600026,464071.0,788872.0,567892.0,,,,1281074.0,,,
145,060002609486,2011,060002609486,0600026,581532.0,806599.0,639684.0,,,,1241031.0,,,
146,060002610815,2011,060002610815,0600026,237046.0,357317.0,28888.0,,,,44805.0,,,
147,060002611986,2011,060002611986,0600026,50602.0,50602.0,50602.0,,,,0.0,,,
148,060002702451,2011,060002702451,0600027,3036472.0,3477234.0,3036472.0,,,,99042.0,,,
149,060002702452,2011,060002702452,0600027,2044940.0,2526511.0,2044940.0,,,,90968.0,,,
150,060002705011,2011,060002705011,0600027,3390265.0,4549802.0,3390264.0,,,,196411.0,,,
151,060002707605,2011,060002707605,0600027,2477812.0,3070771.0,2477812.0,,,,111756.0,,,
152,060002709488,2011,060002709488,0600027,1426387.0,1999462.0,1426387.0,,,,98156.0,,,
153,060002709489,2011,060002709489,0600027,7517573.0,10624306.0,7517573.0,,,,527124.0,,,
154,060002709490,2011,060002709490,0600027,2116039.0,2677671.0,2116039.0,,,,110685.0,,,
155,060002709491,2011,060002709491,0600027,2555692.0,3105292.0,2555692.0,,,,108848.0,,,
156,060002709492,2011,060002709492,0600027,3159326.0,3832828.0,3159326.0,,,,93815.0,,,
157,060002709493,2011,060002709493,0600027,2350907.0,3438457.0,2350907.0,,,,153038.0,,,
158,060002709496,2011,060002709496,0600027,3986014.0,5367803.0,3986014.0,,,,262571.0,,,
159,060002709497,2011,060002709497,0600027,2295253.0,2893258.0,2295253.0,,,,101104.0,,,
160,060002709498,2011,060002709498,0600027,2456753.0,2811637.0,2456753.0,,,,95791.0,,,
161,060002710280,2011,060002710280,0600027,7023447.0,9503357.0,7023447.0,,,,552766.0,,,
162,060002710281,2011,060002710281,0600027,3276822.0,4057463.0,3276822.0,,,,106755.0,,,
163,060002710352,2011,060002710352,0600027,3325255.0,3877467.0,3325255.0,,,,87675.0,,,
164,060002710587,2011,060002710587,0600027,3242806.0,3841568.0,3242806.0,,,,121077.0,,,
165,060002710588,2011,060002710588,0600027,3908878.0,5139530.0,3908878.0,,,,214600.0,,,
166,060002711036,2011,060002711036,0600027,6397707.0,8901420.0,6397707.0,,,,615720.0,,,
167,060002711037,2011,060002711037,0600027,2637560.0,3179977.0,2637560.0,,,,89882.0,,,
168,060002712001,2011,060002712001,0600027,3160615.0,3619783.0,3160615.0,,,,151553.0,,,
169,060002712094,2011,060002712094,0600027,444939.0,528970.0,444939.0,,,,2974.0,,,
170,060002712772,2011,060002712772,0600027,4221618.0,5365243.0,4221618.0,,,,252904.0,,,
171,060002799999,2011,060002712914,0600027,1200867.0,1541960.0,1200867.0,,,,931964.0,,,
172,060002803647,2011,060002803647,0600028,3179290.0,3798698.0,3218813.0,,,,145868.0,,,
173,060002803648,2011,060002803648,0600028,1401719.0,1720994.0,1413176.0,,,,15623.0,,,
174,060002805012,2011,060002805012,0600028,2088961.0,2376280.0,2088961.0,,,,63862.0,,,
175,060002806276,2011,060002806276,0600028,1758562.0,2007607.0,1774737.0,,,,48428.0,,,
176,060002807222,2011,060002807222,0600028,8612393.0,10542281.0,8797161.0,,,,429309.0,,,
177,060002807223,2011,060002807223,0600028,2385334.0,2675978.0,2402245.0,,,,94905.0,,,
178,060002808270,2011,060002808270,0600028,1160174.0,1460318.0,1178626.0,,,,25784.0,,,
179,060002808271,2011,060002808271,0600028,2133206.0,3282374.0,2917391.0,,,,98952.0,,,
180,060002808272,2011,060002808272,0600028,2794480.0,3449966.0,2821867.0,,,,143314.0,,,
181,060002808564,2011,060002808564,0600028,0.0,0.0,0.0,,,,0.0,,,
182,060002809499,2011,060002809499,0600028,7480303.0,9233341.0,7695049.0,,,,323211.0,,,
183,060002809500,2011,060002809500,0600028,948201.0,1442471.0,948201.0,,,,42344.0,,,
184,060002809501,2011,060002809501,0600028,3155096.0,3770672.0,3155096.0,,,,131130.0,,,
185,060002809502,2011,060002809502,0600028,1972783.0,2350585.0,2005587.0,,,,64794.0,,,
186,060002809503,2011,060002809503,0600028,1825145.0,2117063.0,1843876.0,,,,72299.0,,,
187,060002809505,2011,060002809505,0600028,2626209.0,3238022.0,2646245.0,,,,112376.0,,,
188,060002809506,2011,060002809506,0600028,1971911.0,2373507.0,2032775.0,,,,83599.0,,,
189,060002809684,2011,060002809684,0600028,2595724.0,3014990.0,2652392.0,,,,71121.0,,,
190,060002810282,2011,060002810282,0600028,1514705.0,1846709.0,1534831.0,,,,37216.0,,,
191,060002810353,2011,060002810353,0600028,2576582.0,2940522.0,2601582.0,,,,107113.0,,,
192,060002810589,2011,060002810589,0600028,613294.0,647097.0,613294.0,,,,9085.0,,,
193,060002811038,2011,060002811038,0600028,8723161.0,10663596.0,8889023.0,,,,498120.0,,,
194,060002811039,2011,060002811039,0600028,2133206.0,2431726.0,2150176.0,,,,59363.0,,,
195,060002811040,2011,060002811040,0600028,3260696.0,3925738.0,3274745.0,,,,113801.0,,,
196,060002811041,2011,060002811041,0600028,2255402.0,2551603.0,2268852.0,,,,85516.0,,,
197,060002811042,2011,060002811042,0600028,2063636.0,2427023.0,2085003.0,,,,66627.0,,,
198,060002811043,2011,060002811043,0600028,2467753.0,2828895.0,2489810.0,,,,71883.0,,,
199,060002811170,2011,060002811170,0600028,2414732.0,2759409.0,2432223.0,,,,58011.0,,,
200,060002811187,2011,060002811187,0600028,2639002.0,3085950.0,2659910.0,,,,93243.0,,,
201,060002811838,2011,060002811838,0600028,2879983.0,3224445.0,2902452.0,,,,68684.0,,,
202,060002812568,2011,060002812568,0600028,157600.0,322647.0,1.0,,,,217209.0,,,
203,060002902467,2011,060002902467,0600029,729713.0,1108139.0,729713.0,,,,24020.0,,,
204,060002903649,2011,060002903649,0600029,4152934.0,5372643.0,4153434.0,,,,167286.0,,,
205,060002906282,2011,060002906282,0600029,2375193.0,2886008.0,2410532.0,,,,96874.0,,,
206,060002908565,2011,060002908565,0600029,3247747.0,3876126.0,3350763.0,,,,113656.0,,,
207,060002909507,2011,060002909507,0600029,2849008.0,3443258.0,2901031.0,,,,41170.0,,,
208,060002909508,2011,060002909508,0600029,2198370.0,2700055.0,2257419.0,,,,80621.0,,,
209,060002909509,2011,060002909509,0600029,2058237.0,2480619.0,2099474.0,,,,67548.0,,,
210,060002909510,2011,060002909510,0600029,1895137.0,2339766.0,1937347.0,,,,46074.0,,,
211,060002909511,2011,060002909511,0600029,2170922.0,2631601.0,2246269.0,,,,87519.0,,,
212,060002909685,2011,060002909685,0600029,6611931.0,9148203.0,6653692.0,,,,403259.0,,,
213,060002909686,2011,060002909686,0600029,3441007.0,4540432.0,3445185.0,,,,184550.0,,,
214,060002910354,2011,060002910354,0600029,3103917.0,3682985.0,3183297.0,,,,65738.0,,,
