,crdc_id,year,ncessch,leaid,teachers_fte_crdc,teachers_certified_fte,teachers_uncertified_fte,teachers_first_year_fte,teachers_second_year_fte,teachers_current_sy,teachers_previous_sy,teachers_absent_fte,counselors_fte,psychologists_fte,social_workers_fte,nurses_fte,security_guard_fte,law_enforcement_fte,law_enforcement_ind
133,060002209293,2011,060002209293,0600022,20.0,20.0,,2.0,1.0,,,11.0,,,,,,,
134,060002209294,2011,060002209294,0600022,39.0,39.0,,2.0,2.0,,,11.0,,,,,,,
135,060002503570,2011,060002503570,0600025,27.0,27.8,,0.0,0.0,,,15.0,,,,,,,
136,060002503573,2011,060002503573,0600025,32.0,32.87,,1.0,0.0,,,17.0,,,,,,,
137,060002503575,2011,060002503575,0600025,24.0,24.2,,0.0,0.0,,,15.0,,,,,,,
138,060002503576,2011,060002503576,0600025,30.0,30.57,,0.0,1.0,,,11.0,,,,,,,
139,060002505922,2011,060002505922,0600025,18.0,18.8,,1.0,0.0,,,2.48,,,,,,,
140,060002506328,2011,060002506328,0600025,90.0,90.1,,2.0,1.0,,,30.6,7.0,,,,,,
141,060002507535,2011,060002507535,0600025,53.0,53.64,,1.0,1.0,,,17.0,,,,,,,
142,060002599999,2011,,,15.0,15.25,,0.0,0.0,,,0.0,,,,,,,
143,060002604544,2011,060002604544,0600026,15.0,14.8,,0.0,0.0,,,10.0,0.5,,,,,,
144,060002609485,2011,060002609485,0600026,8.0,8.0,,0.0,0.0,,,0.0,,,,,,,
145,060002609486,2011,060002609486,0600026,13.0,11.0,,0.0,0.0,,,0.0,,,,,,,
146,060002610815,2011,060002610815,0600026,4.0,4.0,,0.0,0.0,,,0.0,,,,,,,
147,060002611986,2011,060002611986,0600026,0.0,0.75,,0.0,0.0,,,0.0,0.0,,,,,,
148,060002702451,2011,060002702451,0600027,33.0,33.2,,0.0,1.0,,,0.0,,,,,,,
149,060002702452,2011,060002702452,0600027,23.0,23.0,,0.0,0.0,,,0.0,,,,,,,
150,060002705011,2011,060002705011,0600027,39.0,39.4,,0.0,0.0,,,0.0,,,,,,,
151,060002707605,2011,060002707605,0600027,27.0,27.0,,0.0,0.0,,,0.0,,,,,,,
152,060002709488,2011,060002709488,0600027,13.0,13.4,,0.0,1.0,,,0.0,0.35,,,,,,
153,060002709489,2011,060002709489,0600027,89.0,89.5,,0.0,3.0,,,0.0,6.5,,,,,,
154,060002709490,2011,060002709490,0600027,25.0,25.0,,0.0,0.0,,,0.0,,,,,,,
155,060002709491,2011,060002709491,0600027,31.0,31.0,,1.0,2.0,,,0.0,,,,,,,
156,060002709492,2011,060002709492,0600027,31.0,31.4,,0.0,1.0,,,0.0,,,,,,,
157,060002709493,2011,060002709493,0600027,30.0,30.1,,0.0,1.0,,,0.0,,,,,,,
158,060002709496,2011,060002709496,0600027,49.0,49.9,,0.0,2.0,,,0.0,,,,,,,
159,060002709497,2011,060002709497,0600027,26.0,26.8,,0.0,0.0,,,0.0,,,,,,,
160,060002709498,2011,060002709498,0600027,32.0,32.0,,0.0,0.0,,,0.0,,,,,,,
161,060002710280,2011,060002710280,0600027,86.0,84.63,,2.0,5.0,,,0.0,5.25,,,,,,
162,060002710281,2011,060002710281,0600027,37.0,37.0,,0.0,3.0,,,0.0,,,,,,,
163,060002710352,2011,060002710352,0600027,38.0,38.5,,0.0,0.0,,,0.0,,,,,,,
164,060002710587,2011,060002710587,0600027,36.0,36.0,,1.0,1.0,,,0.0,,,,,,,
165,060002710588,2011,060002710588,0600027,46.0,46.1,,0.0,1.0,,,0.0,,,,,,,
166,060002711036,2011,060002711036,0600027,81.0,81.2,,1.0,3.0,,,0.0,4.25,,,,,,
167,060002711037,2011,060002711037,0600027,31.0,31.0,,0.0,0.0,,,0.0,,,,,,,
