,ncessch,year,leaid_x,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name,AP_oneormore_relative,crdc_id_x,teachers_fte_crdc,teachers_current_sy,security_guard_fte,salaries_teachers
46,60005201477.0,2011,600052.0,99,99,0.0,165.0,40.789775,-124.158332,1261.0,EUREKA SENIOR HIGH,13.08485329103886,060005201477,59.0,0.049557522123893805,0.0,49009.79661016949
47,60006002212.0,2011,600060.0,99,99,15.0,54.0,37.595494,-120.85936,750.0,HUGHSON HIGH,7.199999999999999,060006002212,33.0,0.04885057471264368,0.0,57596.30303030303
48,60006104232.0,2011,600061.0,99,99,35.0,80.0,37.730831,-120.919826,689.0,RIVERBANK HIGH,11.611030478955007,060006104232,37.0,0.04712041884816754,0.002617801047120419,68247.2972972973
49,60006204231.0,2011,600062.0,99,99,65.0,142.0,37.761431,-120.854258,1613.0,OAKDALE HIGH,8.803471791692498,060006204231,68.0,0.044642857142857144,0.0,64748.33823529412
50,60006308657.0,2011,600063.0,99,99,0.0,192.0,37.636617,-120.775919,613.0,WATERFORD HIGH,31.321370309951057,060006308657,27.0,0.05128205128205128,0.0,60653.40740740741
51,60006404879.0,2011,600064.0,99,99,66.0,199.0,36.082917,-119.0511,1908.0,MONACHE HIGH,10.429769392033544,060006404879,77.0,0.04367699339766379,0.0015236160487557136,69623.4025974026
52,60006404880.0,2011,600064.0,99,99,34.0,158.0,36.064858,-119.027806,1822.0,PORTERVILLE HIGH,8.67178924259056,060006404880,74.0,0.045714285714285714,0.0015584415584415584,71488.08108108108
53,60006408426.0,2011,600064.0,99,99,18.0,140.0,36.068225,-118.97773,1065.0,GRANITE HILLS HIGH,13.145539906103288,060006408426,49.0,0.045389048991354465,0.002161383285302594,71354.5306122449
54,60006412356.0,2011,600064.0,99,99,27.0,149.0,36.142749,-119.062695,509.0,HARMONY MAGNET ACADEMY,29.273084479371313,060006412356,21.0,0.04725897920604915,0.001890359168241966,69771.28571428571
55,60006501242.0,2011,600065.0,99,99,134.0,125.0,36.541282,-119.386439,1825.0,DINUBA HIGH,6.8493150684931505,060006501242,79.0,0.04627766599597585,0.0017002012072434608,68196.81012658228
56,60006700731.0,2011,600067.0,99,99,0.0,82.0,36.539757,-119.838348,532.0,CARUTHERS HIGH,15.413533834586465,060006700731,26.0,0.057391304347826085,0.0,62841.03846153846
57,60006810542.0,2011,600068.0,99,99,37.0,55.0,36.92525,-119.896518,568.0,LIBERTY HIGH,9.683098591549296,060006810542,26.0,0.06099815157116451,0.0018484288354898336,61902.346153846156
58,60006908607.0,2011,600069.0,99,99,98.0,163.0,33.279719,-117.024607,1266.0,VALLEY CENTER HIGH,12.87519747235387,060006908607,54.0,0.04824561403508772,0.003289473684210526,75309.38888888889
59,62271011313.0,2011,622710.0,99,99,13.0,151.0,34.023364,-118.203724,588.0,ANIMO OSCAR DE LA HOYA CHARTER HIGH,25.68027210884354,060011599982,24.0,0.048252911813643926,0.0016638935108153079,65229.375
60,62271011635.0,2011,622710.0,99,99,16.0,112.0,34.012287,-118.243543,746.0,ANIMO RALPH BUNCHE HIGH,15.013404825737265,060011599985,32.0,0.04692556634304207,0.003236245954692557,56809.1875
61,62271011640.0,2011,622710.0,99,99,6.0,20.0,33.917951,-118.265218,550.0,ANIMO WATTS CHARTER HIGH,3.6363636363636362,060011599988,23.0,0.04835924006908463,0.0,54618.04347826087
62,62271012248.0,2011,622710.0,99,99,4.0,86.0,33.934838,-118.268291,781.0,ANIMO LOCKE CHARTER HIGH SCHOOL #1,11.011523687580025,060011599992,44.0,0.058093994778067884,0.0019582245430809398,55873.681818181816
63,62271010836.0,2011,622710.0,99,99,9.0,99.0,33.93356,-118.308627,617.0,ANIMO SOUTH LOS ANGELES CHARTER,16.045380875202593,060011599994,27.0,0.05175292153589316,0.001669449081803005,59143.555555555555
64,62271010849.0,2011,622710.0,99,99,2.0,75.0,33.96288,-118.242143,581.0,ANIMO PAT BROWN,12.908777969018933,060011599995,28.0,0.04715447154471545,0.0016260162601626016,57849.392857142855
65,62142008504.0,2011,621420.0,99,99,5.0,143.0,33.9528,-118.3758,621.0,ANIMO LEADERSHIP HIGH,23.027375201288244,060011599996,27.0,0.04416403785488959,0.0015772870662460567,60513.0
66,61839010538.0,2011,618390.0,99,99,2.0,106.0,33.959998,-118.33171,622.0,ANIMO INGLEWOOD CHARTER HIGH,17.041800643086816,060011599997,27.0,0.0473186119873817,0.0015772870662460567,56996.96296296296
67,60011612212.0,2011,600116.0,99,99,52.0,16.0,37.12332,-119.73076,283.0,MINARETS HIGH,5.6537102473498235,060011612212,10.0,0.14516129032258066,0.0018817204301075268,83432.1
68,60011613035.0,2011,600116.0,99,99,13.0,6.0,37.16022,-119.63833,134.0,MINARETS CHARTER HIGH,4.477611940298507,060011699999,10.0,0.09854014598540146,0.0019343065693430658,23554.7
69,60015310929.0,2011,600153.0,99,99,44.0,579.0,34.092822,-118.128512,2892.0,ALHAMBRA HIGH,20.020746887966805,060015310929,90.0,0.05183673469387755,0.003061224489795918,74807.72222222222
70,60015310930.0,2011,600153.0,99,99,11.0,537.0,34.0705,-118.115427,2508.0,MARK KEPPEL HIGH,21.411483253588518,060015310930,75.0,0.048118985126859144,0.0030621172353455816,73068.29333333333
71,60015310931.0,2011,600153.0,99,99,75.0,580.0,34.093276,-118.108659,2383.0,SAN GABRIEL HIGH,24.33906840117499,060015310931,70.0,0.04741980474198047,0.00395165039516504,73463.2
72,60015811503.0,2011,600158.0,99,99,0.0,444.0,37.531259,-120.878227,2179.0,JOHN H. PITMAN HIGH,20.376319412574574,060015811503,90.0,0.04613166746756367,0.0,66992.63333333333
73,60015811505.0,2011,600158.0,99,99,0.0,376.0,37.499374,-120.832275,2126.0,TURLOCK HIGH,17.68579492003763,060015811505,100.0,0.04437273093989512,0.0,65215.98
74,60015901474.0,2011,600159.0,99,99,14.0,6.0,41.460978,-122.898945,184.0,ETNA UNION HIGH,3.260869565217391,060015901474,13.0,0.07614213197969544,0.0,51529.846153846156
75,60016007023.0,2011,600160.0,99,99,65.0,89.0,37.329104,-119.632365,785.0,YOSEMITE HIGH,11.337579617834395,060016007023,34.0,0.04532163742690058,0.0043859649122807015,67754.26470588235
76,60133106605.0,2011,601331.0,99,99,0.0,135.0,40.7394,-122.9481,397.0,TRINITY HIGH,34.005037783375315,060133106605,20.0,0.10115606936416185,0.0,57410.0
77,60133201985.0,2011,601332.0,99,99,29.0,67.0,38.681055,-121.349231,1198.0,FOOTHILL HIGH,5.592654424040067,060133201985,65.0,0.048993875765529306,0.002300962379702537,49371.32307692308
