ncessch,year,leaid,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name
60263000180.0,2011,602630.0,99,99,22.0,194.0,33.811671,-117.94381,2741.0,LOARA HIGH
60263000182.0,2011,602630.0,99,99,23.0,243.0,33.816243,-117.972568,1927.0,MAGNOLIA HIGH
60263000187.0,2011,602630.0,99,99,50.0,228.0,33.834645,-117.970411,2251.0,SAVANNA HIGH
60263000192.0,2011,602630.0,99,99,6.0,182.0,33.825671,-118.003475,2301.0,WESTERN HIGH
60263007580.0,2011,602630.0,99,99,11.0,381.0,33.823811,-118.042179,1142.0,OXFORD ACADEMY
60267000193.0,2011,602670.0,99,99,0.0,181.0,38.407415,-122.825352,1319.0,ANALY HIGH
60267000194.0,2011,602670.0,99,99,0.0,121.0,38.481285,-122.888707,753.0,EL MOLINO HIGH
60270000196.0,2011,602700.0,99,99,4.0,66.0,40.443167,-122.305214,625.0,ANDERSON HIGH
60270007642.0,2011,602700.0,99,99,18.0,58.0,40.396304,-122.403229,965.0,WEST VALLEY HIGH
60270010671.0,2011,602700.0,99,99,0.0,0.0,40.452234,-122.300444,223.0,ANDERSON NEW TECHNOLOGY HIGH
60273000199.0,2011,602730.0,99,99,7.0,52.0,39.012123,-123.375459,252.0,ANDERSON VALLEY JUNIOR-SENIOR HIGH
60282000203.0,2011,602820.0,99,99,114.0,192.0,34.69919,-118.1303,1772.0,ANTELOPE VALLEY HIGH
60282000205.0,2011,602820.0,99,99,229.0,223.0,34.574151,-118.08996,3072.0,PALMDALE HIGH
60282000206.0,2011,602820.0,99,99,159.0,287.0,34.658723,-118.238128,3146.0,QUARTZ HILL HIGH
60282004582.0,2011,602820.0,99,99,209.0,237.0,34.694666,-118.18952,2446.0,LANCASTER HIGH
60282009515.0,2011,602820.0,99,99,239.0,269.0,34.591755,-118.175561,3237.0,HIGHLAND HIGH
60282009516.0,2011,602820.0,99,99,106.0,190.0,34.573643,-117.93711,1673.0,LITTLEROCK HIGH
60282010823.0,2011,602820.0,99,99,169.0,274.0,34.680211,-118.07016,2431.0,EASTSIDE HIGH
60282011346.0,2011,602820.0,99,99,150.0,470.0,34.564153,-118.008377,3416.0,WILLIAM J. (PETE) KNIGHT HIGH
60282012172.0,2011,602820.0,99,99,0.0,0.0,34.640123,-118.127481,403.0,LOS ANGELES COUNTY ONLINE HIGH
60285000207.0,2011,602850.0,99,99,116.0,120.0,38.006282,-121.816298,1970.0,ANTIOCH HIGH
60285005724.0,2011,602850.0,99,99,170.0,281.0,37.963604,-121.775155,2734.0,DEER VALLEY HIGH
60285012278.0,2011,602850.0,99,99,54.0,186.0,37.94807,-121.76817,628.0,DOZIER-LIBBEY MEDICAL HIGH
60297000223.0,2011,602970.0,99,99,96.0,567.0,34.129924,-118.038929,3665.0,ARCADIA HIGH
60303000238.0,2011,603030.0,99,99,51.0,227.0,40.877586,-124.089736,818.0,ARCATA HIGH
60303000239.0,2011,603030.0,99,99,19.0,39.0,40.955089,-124.108992,618.0,MCKINLEYVILLE HIGH
60303010800.0,2011,603030.0,99,99,0.0,17.0,40.876777,-124.089039,95.0,SIX RIVERS CHARTER HIGH
60309008155.0,2011,603090.0,99,99,2.0,12.0,38.913253,-123.692681,91.0,PACIFIC COMMUNITY CHARTER
60330000247.0,2011,603300.0,99,99,147.0,242.0,35.483126,-120.672586,1485.0,ATASCADERO HIGH
60360000268.0,2011,603600.0,99,99,10.0,194.0,34.124535,-117.897547,1363.0,AZUSA HIGH
60360000273.0,2011,603600.0,99,99,0.0,269.0,34.104421,-117.913186,1427.0,GLADSTONE HIGH
60369000324.0,2011,603690.0,99,99,23.0,263.0,34.083944,-117.948555,2298.0,BALDWIN PARK HIGH
60369000338.0,2011,603690.0,99,99,18.0,310.0,34.076199,-117.98011,2018.0,SIERRA VISTA HIGH
60384000347.0,2011,603840.0,99,99,54.0,150.0,33.917217,-116.878211,1129.0,BANNING HIGH
60402000355.0,2011,604020.0,99,99,0.0,0.0,34.89374,-117.0279,1441.0,BARSTOW HIGH
60411000371.0,2011,604110.0,99,99,4.0,179.0,34.05179,-117.977142,1165.0,BASSETT SENIOR HIGH
60423000381.0,2011,604230.0,99,99,0.0,105.0,34.255976,-116.825662,823.0,BIG BEAR HIGH
60429000386.0,2011,604290.0,99,99,0.0,352.0,33.964932,-116.97983,2431.0,BEAUMONT SENIOR HIGH
60444000396.0,2011,604440.0,99,99,0.0,119.0,33.893789,-118.114968,2913.0,BELLFLOWER HIGH
60444000402.0,2011,604440.0,99,99,0.0,295.0,33.864274,-118.116177,3446.0,MAYFAIR HIGH
60462000422.0,2011,604620.0,99,99,42.0,270.0,38.064773,-122.17415,1651.0,BENICIA HIGH
60474000432.0,2011,604740.0,99,99,690.0,436.0,37.866237,-122.271269,3205.0,BERKELEY HIGH
60483000471.0,2011,604830.0,99,99,29.0,595.0,34.062327,-118.411582,1975.0,BEVERLY HILLS HIGH
60501000482.0,2011,605010.0,99,99,0.0,2.0,41.121749,-121.139591,100.0,BIG VALLEY JR. SR. HIGH
60504000486.0,2011,605040.0,99,99,0.0,0.0,39.415927,-121.707077,164.0,BIGGS HIGH
60524000495.0,2011,605240.0,99,99,12.0,11.0,38.846109,-120.860799,523.0,GOLDEN SIERRA HIGH
60561000505.0,2011,605610.0,99,99,78.0,385.0,34.106981,-117.76627,1978.0,BONITA HIGH
60561000514.0,2011,605610.0,99,99,121.0,252.0,34.098881,-117.823424,1296.0,SAN DIMAS HIGH
60582000524.0,2011,605820.0,99,99,31.0,115.0,32.982573,-115.53409,1622.0,BRAWLEY HIGH
60588000529.0,2011,605880.0,99,99,86.0,434.0,33.932089,-117.876235,1953.0,BREA-OLINDA HIGH
60594000537.0,2011,605940.0,99,99,0.0,92.0,38.079049,-120.552659,719.0,BRET HARTE UNION HIGH
60678000599.0,2011,606780.0,99,99,38.0,237.0,37.473558,-122.42824,935.0,HALF MOON BAY HIGH
60687000625.0,2011,606870.0,99,99,4.0,76.0,38.199834,-120.684347,1016.0,CALAVERAS HIGH
60690000634.0,2011,606900.0,99,99,56.0,348.0,32.677467,-115.486374,2161.0,CALEXICO HIGH
60699000643.0,2011,606990.0,99,99,5.0,60.0,33.124851,-115.52444,337.0,CALIPATRIA HIGH
60702000647.0,2011,607020.0,99,99,2.0,41.0,38.583557,-122.580347,367.0,CALISTOGA JUNIOR-SENIOR HIGH
60723000665.0,2011,607230.0,99,99,54.0,159.0,37.303695,-121.927225,1160.0,DEL MAR HIGH
60723000673.0,2011,607230.0,99,99,22.0,166.0,37.291087,-122.000259,1297.0,PROSPECT HIGH
60723000676.0,2011,607230.0,99,99,58.0,261.0,37.271383,-121.985928,1624.0,WESTMONT HIGH
60723008122.0,2011,607230.0,99,99,36.0,314.0,37.241527,-121.919977,1619.0,LEIGH HIGH
60723008350.0,2011,607230.0,99,99,31.0,212.0,37.253819,-121.899244,1389.0,BRANHAM HIGH
60744000685.0,2011,607440.0,99,99,59.0,671.0,33.542765,-117.671217,2712.0,CAPISTRANO VALLEY HIGH
60744000689.0,2011,607440.0,99,99,49.0,752.0,33.477888,-117.700415,2830.0,DANA HILLS HIGH
